term	count	synsets	alias_group
headlight on bike	1	along.r.01	
a white helmet	1	whiten.v.01	white helmet
light on front	1	along.r.01	
hand out child	1	pass.v.05	
helmet on officer	1	along.r.01	
cart handle	1		
atop cats	1	be.v.01	
over middle	1		
picking up h	1		
laying down h	1		
lead up to a	1		lead up to
on an object in	1		
has indented	1		
are locked onto	1	be.v.01	locked onto
leopard	1		
continutes to	1		
spikey	1		
strap on	1	along.r.01	
smiling wearing	1	wear.v.01	
with a black and	1	blacken.v.01	
with a spiky	1		
flowers on	1	along.r.01	
at end of its	1	be.v.01	
plates	1	plat.v.01	
reflects ceiling	1	chew_over.v.01	
seems very	1		
entire park built in an interesting	1		
on hanging on	1	along.r.01	
base of a	1		base of
wearing glove on	1	be.v.01	
trying to enter	1	try.v.01	
descending to	1	descend.v.01	
on kid	1	be.v.01	
clutched to	1	seize.v.01	
overlaps	1	overlap.v.01	
laying on stomach on	1	put.v.01	
parked at end of	1		
right over	1	properly.r.01	
facing opposite direction than	1		
conveyor	1		
are bloomed on	1	be.v.01	bloomed on
looking over neck of	1	look.v.02	
are ourside	1	be.v.01	ourside
sole	1		
shin	1	clamber.v.01	
making some	1	make.v.01	
dry and full of	1	be.v.01	
landscaped	1		
made a shadow on	1	make.v.01	
runoff on	1	along.r.01	
preforming a	1		preforming
that covered in	1	be.v.01	
conference	1		
has am	1	be.v.01	
shows a pattern	1	show.v.01	
eating at an	1		eating at
are raised over	1	be.v.01	raised over
has a lone	1	have.v.01	
jumping onto	1	jump.v.01	jumping onto
dog with	1	chase.v.01	
has nose in	1	have.v.01	
inches apart	1	apart.r.01	
are tied on	1	be.v.01	tied on
piped on top of	1	along.r.01	
sticking out in front of a	1	stay.v.02	sticking out in front of
swaying on	1	along.r.01	
under its	1	under.r.01	
food on a	1	be.v.01	food on
with omelet toasted bread and bowl of	1	crispen.v.01	
in glass of	1	in.r.01	
are hanging near	1	be.v.01	hanging near
walking closest to	1		
bangle girl	1	be.v.01	
of girls	1		
man touching	1	refer.v.02	
a blue red white	1	whiten.v.01	blue red white
juice in	1	in.r.01	
white chair on	1	along.r.01	
train tracks on	1	traverse.v.01	
stiped blouse of	1		
sitting down and	1	sit.v.01	
and black shirt	1	blacken.v.01	
colored train	1	train.v.01	
by train	1	train.v.01	
staring down at	1	gaze.v.01	
hit off	1	be.v.01	
pronounced	1	pronounce.v.01	
relaxed	1	relax.v.01	
rode down	1	down.r.01	
has at end	1	have.v.01	
milks	1	milk.v.01	
down at	1	down.r.01	
duck	1	hedge.v.01	
flowing in front of	1	run.v.06	
beef in	1	be.v.01	
are suspended by	1		suspended by
curled against	1	curl.v.01	
speaks on	1	talk.v.01	
in picture wearing a	1	wear.v.01	in picture wearing
thick on	1	along.r.01	
on top their	1	along.r.01	
of cow	1		
adorning front of	1		
has a double	1	have.v.01	
and french	1		
salad and	1		
thin and	1	be.v.01	
chewing a	1		chewing
wrapped on bottom of	1		
being raised by	1	be.v.01	
has option to	1	have.v.01	
conquers	1	suppress.v.01	
reaching its	1	be.v.01	
buying food from	1	buy.v.01	
giving to	1	give.v.01	
of panel	1	panel.v.01	
grinding down	1	down.r.01	
men made of	1	make.v.01	
man shaped	1	determine.v.02	
with fingernail	1		
line above	1	above.r.01	
wire behind	1	behind.r.01	
tree behind	1	behind.r.01	
says it a	1	be.v.01	says it
htc	1		
handmade	1		
has thumb	1	have.v.01	
has dual	1	have.v.01	
to connect to	1	associate.v.01	
brim	1		
cashmere	1		
are sniffing	1	be.v.01	sniffing
falls of	1	descend.v.01	
getting ready to eat	1	get_down.v.07	
ready to grab	1	fix.v.12	
ready to grasp	1	fix.v.12	
patterned same as	1	equally.r.01	
leans towards	1	tend.v.01	
has foot on h	1	have.v.01	
dressed in all black	1	wholly.r.01	
looking surprised by	1	look.v.02	
comes toward	1	arrive.v.01	
are talking near	1	be.v.01	talking near
looking over other	1	look.v.02	
leaning on or	1	be.v.01	
and face are long on	1	be.v.01	
resting on or	1	be.v.01	
on zebra has	1	have.v.01	
of zebra head on	1	along.r.01	
horizontal to	1	be.v.01	
lying head on other	1	lie.v.01	
with nose on	1	along.r.01	
sticking up between	1	up.r.01	
white for	1	be.v.01	
sticks out pink	1	stay.v.02	
eats pizza with	1	eat.v.01	
atop table with	1	postpone.v.01	
sculpture	1	sculpt.v.01	
plantations	1		
rafts in	1	in.r.01	
rafts	1		
with complete	1	complete.v.01	
demonstrating with	1	be.v.01	
with wind swept	1	sweep.v.02	
holds out her	1	have.v.01	
an aluminum	1	be.v.01	aluminum
nissan	1		
sleepy	1		
something	1		
has growth on	1	have.v.01	
on a boat	1	along.r.01	
and pretty	1	reasonably.r.01	
of ducks	1	hedge.v.01	
wearing life vests	1	wear.v.01	
banner	1		
are swimming	1	be.v.01	swimming
has ripples	1	have.v.01	
wearing striped blue	1	wear.v.01	
covered with clay	1	be.v.01	
on house near	1	about.r.07	
by red	1	by.r.01	
are about to	1	be.v.01	about to
with round	1	attack.v.02	
garlic	1		
spiky	1		
weariing a green	1		
with a dress	1	dress.v.01	
with white under	1	under.r.01	
with a gray	1		
moving from	1	travel.v.01	
kayaking	1		
elevates off	1	away.r.01	
chienese	1		
chinese	1		
are leaping for	1	be.v.01	leaping for
watermark	1		
maintained	1	keep.v.01	
bograshov	1		
only a	1	be.v.01	only
big for	1	be.v.01	
painted colour of	1	be.v.01	
painted to match	1	match.v.01	
hangs down to	1	down.r.01	
has a cap on h	1	have.v.01	
between base and	1	establish.v.08	
above white spot on	1	along.r.01	
has on white uniform	1	have.v.01	
for throwing	1	be.v.01	
held in hand of	1	be.v.01	
has on grey	1	have.v.01	
inked onto	1		
turning organge	1	become.v.02	
moored with sails	1	sweep.v.02	
with mountain in	1	in.r.01	
showing fall	1	show.v.01	
bleachers	1		
placed atop of	1	put.v.01	
juming on	1	along.r.01	
wearing b	1	wear.v.01	
with spout	1	spurt.v.01	
teaches surfing to	1	teach.v.01	
swimming out towards	1	away.r.02	
wadding in	1	in.r.01	
vendor	1		
auggests	1		
each have	1	have.v.01	
labled	1		
ia on	1	along.r.01	
growing up out of	1		
takeout	1		
restaurant	1		
industrial	1		
taking nap on	1	necessitate.v.01	
trainers	1		
friendly with	1	be.v.01	
turning its	1	be.v.01	
getting pet by	1	be.v.01	
of a drop	1	spend.v.02	
on toast	1	along.r.01	
navigates	1	voyage.v.01	
wander around	1	approximately.r.01	
od a	1		od
tucked	1	tuck.v.01	
sitting suggests	1	sit.v.01	
organized in a	1	form.v.01	organized in
next t	1	next.r.01	
are roaming	1	be.v.01	roaming
are running in	1	be.v.01	running in
floating over a	1	over.r.01	floating over
both swimming in	1	in.r.01	
both swim in	1	in.r.01	
swims alone in	1	entirely.r.02	
swim together in	1	together.r.01	
of water between	1	water.v.01	
has body with	1	have.v.01	
to make a	1	make.v.01	to make
appearing during	1	look.v.02	
are visiting	1	be.v.01	visiting
with a round top by	1	by.r.01	
can be surfed by	1	be.v.01	
remaining on	1	stay.v.01	
on to of a	1	along.r.01	on to of
has a cream colored	1	have.v.01	
only one on	1	merely.r.01	
are strewn around	1	be.v.01	strewn around
eating leaves off of a	1		eating leaves off of
contradicts	1	contradict.v.01	
hold signs to	1	have.v.01	
wall near	1	about.r.07	
with natural	1		
showing windows and	1	show.v.01	
showing seat	1	show.v.01	
entering side	1	enter.v.01	
nuzzling another	1	cuddle.v.01	
bill	1	charge.v.03	
have lost	1	have.v.01	
dipping head in	1	be.v.01	
of bear in	1	hold.v.11	
in bowl has a	1	have.v.01	in bowl has
in each	1	in.r.01	
fkying in	1	in.r.01	
posing with there	1	put.v.01	
are posing on a	1	be.v.01	posing on
sharing her	1	share.v.01	
are beaten in	1	be.v.01	beaten in
board in	1	in.r.01	
dot in	1	in.r.01	
straps	1	flog.v.01	
pockets	1	pocket.v.01	
on man are	1	be.v.01	on man
girder	1		
who acting	1	be.v.01	
holding a photo in	1	have.v.01	
who wearing a	1	be.v.01	who wearing
that covered by a	1	be.v.01	that covered by
who looks like shes	1	look.v.02	
on end holding a	1	have.v.01	on end holding
appears attached to	1	look.v.02	
wears brown	1	wear.v.01	
detailed with	1	detail.v.01	
are dipicted on	1	be.v.01	dipicted on
are added with	1	be.v.01	added with
between legs of	1	between.r.02	
chair at	1	moderate.v.01	chair at
sun bathing at	1	bathe.v.01	
cone on	1	along.r.01	
standing alone near	1	entirely.r.02	
alongside train	1	train.v.01	
between both	1	between.r.02	
leaving behind a	1	leave.v.01	leaving behind
permanent	1		
anchored into	1	be.v.01	
are facing down	1	be.v.01	facing down
blown up in	1	up.r.01	
stacked in a	1	in.r.01	stacked in
grist	1		
nearly	1	about.r.07	
mud	1		
grid	1		
trailer	1		
grille	1		
tables on	1	along.r.01	
stitched onto	1		
jelleyfish	1		
artwork on	1	along.r.01	
restraining	1	restrict.v.03	
sanding beside	1	sandpaper.v.01	
considers eating	1	think.v.01	
great sans	1	be.v.01	
example of	1	be.v.01	
has more than	1	have.v.01	
comfortable atop	1	be.v.01	
sits amid	1	sit.v.01	
causes placemat to	1	cause.v.01	
refuses to leave	1	leave.v.01	
sit near centre of	1	about.r.07	
halfopened	1	open.v.01	
trunked	1		
animals in enclosure	1	in.r.01	
white stone	1	whiten.v.01	
for more	1	more.r.01	
flipping h	1	be.v.01	
shows no	1	show.v.01	
keeps them from	1	keep.v.01	
beige with	1	be.v.01	
support growing	1	turn.v.07	
also has	1	have.v.01	
have dark	1	have.v.01	
and groom layering	1	prepare.v.05	
and groom pouring	1	pour.v.01	
reflecting from a	1	chew_over.v.01	reflecting from
spreading his legs so to reach	1		
walking inside of	1	be.v.01	
has a wide open	1	have.v.01	
standing alone at	1	be.v.01	
shown on a	1	be.v.01	shown on
has long white	1	have.v.01	
near paved	1	be.v.01	
flies to	1	fly.v.01	
swinging her	1	be.v.01	
has a digital	1	have.v.01	
ash	1		
in a goal	1	in.r.01	
has neutral	1	have.v.01	
each wear a	1	wear.v.01	each wear
reaches down to	1	achieve.v.01	
strung along a	1		strung along
with hand to her	1	pass.v.05	
rowing on a	1		rowing on
used to row	1		
paddles over	1		
bends to	1	bend.v.01	
just outside of	1	merely.r.01	
show technique used	1	use.v.01	
material of	1	be.v.01	
in a striped	1	in.r.01	
that look	1	look.v.02	
washing or	1	be.v.01	
are half in	1	be.v.01	half in
have risen above	1	have.v.01	
umpire wearing a	1	be.v.01	umpire wearing
next to fire	1	arouse.v.01	
hydrant not	1	be.v.01	
fire hydrant speckled with	1	be.v.01	
red fire	1	arouse.v.01	
grey moss tree	1		
colored fall leaf	1	descend.v.01	
gold leaves	1	leave.v.01	
a group of trees	1		group of trees
growing grass	1	turn.v.07	
vase	1		
rounds up	1	up.r.01	
close with	1	close.v.01	
a paper plate	1		paper plate
a jean	1		jean
leg on blanket	1	along.r.01	
plates on grass	1	along.r.01	
a jeans wearing leg	1	wear.v.01	jeans wearing leg
a rectangular box	1	box.v.01	rectangular box
gripping on to	1	along.r.01	
spot on mans foot	1	along.r.01	
red umbrella tip	1	lean.v.01	
eyes are closed	1	be.v.01	
th a man	1		
th a pant	1		
brown butt	1	border.v.05	
scatterd on	1	along.r.01	
having fun with	1	have.v.01	
laying down with	1	put.v.01	
smiling and playing	1	smile.v.01	
printed onto	1	print.v.01	
connecting valves on	1		
lead up a	1		lead up
holding out right	1	have.v.01	
in on side of	1	along.r.01	
has a gray	1	have.v.01	
lets out	1	let.v.01	
have hands in	1	have.v.01	
with bordering	1	surround.v.01	
sniffing at	1	sniff.v.01	
has soda in	1	have.v.01	
has his hands near	1	have.v.01	
in yellow on	1	along.r.01	
written in yellow	1	write.v.01	
legs hold	1	have.v.01	
thumb	1	hitchhike.v.01	
surfing near	1		
buildings	1	construct.v.01	
lead from	1	lead.v.01	
piggybacking on	1	along.r.01	
on unwrapped	1	along.r.01	
are neon	1	be.v.01	neon
in clown	1	in.r.01	
back from	1	be.v.01	
patterned with	1	be.v.01	
being taken by a	1	be.v.01	being taken by
getting pressed by a	1	get_down.v.07	getting pressed by
has red and purple	1	have.v.01	
directly over	1	immediately.r.01	
black guard	1	guard.v.01	
grass strip	1	deprive.v.01	
bush in photo	1	in.r.01	
grass on edge	1	along.r.01	
placed to	1	put.v.01	
tent cover	1	traverse.v.01	
san	1		
short walking	1	walk.v.01	
residential	1		
young lady	1		
of healthy	1		
chapel	1		
choppy near	1	be.v.01	
are in shade of	1	be.v.01	in shade of
get to	1	get_down.v.07	
at centre of	1	concentrate.v.02	
overshadowed by	1	by.r.01	
abuts	1	border.v.05	
may be why	1	be.v.01	
are topped with	1	be.v.01	topped with
wearing knee high	1	wear.v.01	
handing in	1	pass.v.05	
on front left	1	be.v.01	
besides word	1	besides.r.02	
shoes are on	1	be.v.01	
has his head	1	have.v.01	
tunk	1	be.v.01	
missing bark on	1	along.r.01	
seat of	1	seat.v.01	
road in	1	in.r.01	
motorbike on	1	along.r.01	
compartment on	1	along.r.01	
storage on	1	along.r.01	
haird	1		
browed	1		
scratching her	1	cancel.v.01	
that are legible but	1	be.v.01	
that hold	1	have.v.01	
sloping	1	spill.v.01	
relaxing outside	1		
tarmac on	1	along.r.01	
securely	1	securely.r.01	
cellar	1		
tree has	1	have.v.01	
bloomed on	1	along.r.01	bloomed on
are available in	1	be.v.01	available in
six in	1	in.r.01	
with bat in	1	in.r.01	
coverage with	1		
converging with	1	converge.v.01	
share space with	1	share.v.01	
above behind	1	above.r.01	
preceded by	1	by.r.01	
are all visible of	1	be.v.01	all visible of
all say	1	state.v.01	
farthest	1	farthest.r.01	
fooling	1	fool.v.01	
hooves	1		
path	1		
i s	1		
hairband	1		
platic	1		
toddler	1		
who are	1	be.v.01	who
impaling	1	transfix.v.02	
weargin	1		
benches	1	bench.v.01	
has smooth	1	have.v.01	
has tanned	1	have.v.01	
advertised on a	1	along.r.01	advertised on
goes on to	1	become.v.01	
showing video of	1	show.v.01	
nosing	1	intrude.v.03	
warehouse	1		
aluminum	1		aluminum
with a small amount of wine	1		
and fork rolled in	1		
goofing around in	1	approximately.r.01	
with a runny	1		
displayed on top of	1	along.r.01	
of building in	1	construct.v.01	
meeting in	1	meet.v.01	meeting in
in rooms	1	be.v.01	
puts on	1	put.v.01	
are being flown by	1	be.v.01	being flown by
being reached for by	1	be.v.01	
on sidewalk next to	1	along.r.01	
selling flowers in o	1	sell.v.01	
has exaust	1	have.v.01	
has chrome	1	have.v.01	
are only between	1	be.v.01	only between
deliniates	1		
takig	1	be.v.01	
coordinates with	1	organize.v.04	
searching through	1	search.v.01	
adding to	1	add.v.01	
on mothers	1	along.r.01	
cooks with	1	cook.v.02	
in pile on	1	along.r.01	
are packed in a	1	be.v.01	packed in
reflected in chrome	1	chew_over.v.01	
licking up fresh	1	up.r.01	
has soap on	1	have.v.01	
flowing down to	1	be.v.01	
shows cat in	1	show.v.01	
from tap of	1	be.v.01	
shows running	1	show.v.01	
from cold side of	1	be.v.01	
turns for cold	1	become.v.02	
mainly	1	be.v.01	
being mounted on	1	be.v.01	
being mounted to	1	be.v.01	
putting bike on	1	put.v.01	
launch	1	establish.v.01	
kites	1		
unederneath	1		
jeans are	1	be.v.01	jeans
with umbrella	1		
are connecting to the	1		connecting to
has the	1		has
mixing with	1	blend.v.03	
eminating from	1		
lowering from	1	lower.v.01	
being dropped from	1	be.v.01	
lowered from	1	lower.v.01	
empty ski life seats	1	seat.v.01	
covered pine trees	1	traverse.v.01	
metal ski	1		
metal chair	1	moderate.v.01	
blue sign	1	sign.v.02	
person wearing black	1	wear.v.01	
waiting to go up	1	be.v.01	
sitting in lift	1	sit.v.01	
has wheel	1	have.v.01	
of bike has	1	have.v.01	
growing amongst	1	turn.v.07	
jersey on	1	along.r.01	
cap on baseball	1	along.r.01	
sock on	1	along.r.01	
bumpers behind	1	behind.r.01	
shapers	1		
backwards in	1	be.v.01	
players in court	1	in.r.01	
part of a racket	1	depart.v.03	
are riding middle of	1	be.v.01	riding middle of
with a cool	1	cool.v.01	
awesome	1		
being touched by	1	be.v.01	
with an eating	1	eat.v.01	
has a sitting	1	have.v.01	
body surfing in	1		
showing from	1		showing from
travels	1	travel.v.01	
are traveling to	1	be.v.01	traveling to
watching in a	1	be.v.01	watching in
lurking in a	1	be.v.01	lurking in
sheltering a	1	be.v.01	sheltering
cultivating a	1	be.v.01	cultivating
re a segway	1	be.v.01	
building has windows	1	have.v.01	
re a helmet	1	be.v.01	
streetlight on	1	be.v.01	
helmet on head	1	along.r.01	
letters on a bus	1	along.r.01	
pole has banners	1	have.v.01	
vehicle has a wheel	1	have.v.01	
re a wheel	1	be.v.01	
re blue jacket	1	be.v.01	
windows are on side	1	be.v.01	
re streetlight	1	be.v.01	
man riding segway	1	be.v.01	
banners are hanging	1	be.v.01	
re are pedestrian	1	be.v.01	
bus on street	1	be.v.01	
people are riding	1	be.v.01	
re a woman	1	be.v.01	
re an ad	1	be.v.01	
re are buildings	1	be.v.01	
re are two logos	1	be.v.01	
woman wearing sweate	1	wear.v.01	
re light pole	1	be.v.01	
sign behind pole	1	be.v.01	
man by ipad ad	1	by.r.01	
arrow white	1	be.v.01	
man wearign sweater	1	man.v.01	
sunglasses on woman	1	along.r.01	
by himself in	1	be.v.01	
laying down at	1	be.v.01	
eating cake off	1	be.v.01	
pens in	1	write.v.01	
upraised	1	resurrect.v.01	
hairy	1		
grapes in	1	in.r.01	
packaged	1	box.v.01	
granny	1		
crisp	1	crispen.v.01	
bing	1		
bartlett	1		
mylar	1		
clouds and	1	obscure.v.01	
sheep grazing in	1	in.r.01	
with leaves and	1	leave.v.01	
with white and dark	1	whiten.v.01	
of grazing	1	crop.v.05	
and fluffy	1		
are scattered in a	1	be.v.01	scattered in
touching th	1	refer.v.02	
wtaching	1		
in otro	1	in.r.01	
sniffing under	1	sniff.v.01	
holds glass with	1	have.v.01	
belted	1	belt_out.v.01	
smiling about	1	about.r.07	
stare at	1	gaze.v.01	
seems enthralled by	1	look.v.02	
tucked around	1	approximately.r.01	
on eyes of	1	along.r.01	
has a part thats a	1	have.v.01	has a part thats
carrig	1		
with wispy	1		
requires	1	necessitate.v.01	
tag of	1	chase.v.01	
lays beside	1	put.v.01	
connection	1		
has spane from	1	have.v.01	
thrown into air by	1	hold.v.03	
stands beneath	1	stand.v.01	
made specifically	1	make.v.01	
stands amid	1	stand.v.01	
stands before	1	stand.v.01	
following in	1	be.v.08	
all through	1	wholly.r.01	
show some	1	show.v.01	
dug	1	grok.v.01	
on ground behind	1	establish.v.08	
converted	1	convert.v.09	
has stained	1	have.v.01	
idistorted image in	1	visualize.v.01	
tend to	1	tend.v.01	
boundary	1		
squeezes	1	coerce.v.01	
handing down	1	down.r.01	
reflector coat	1	be.v.01	
that small	1	be.v.01	
wears skirt and	1	wear.v.01	
lebelled	1		
are built on	1	be.v.01	built on
built up with	1	be.v.01	
manned by	1	be.v.01	
updated	1	update.v.01	
in pile	1	in.r.01	
white waves	1	beckon.v.01	
board on waves	1	along.r.01	
for woman to surf	1		
brand of	1	stigmatize.v.01	
froth from waves	1	beckon.v.01	
foamy salt water	1	water.v.01	
sea foam waves	1	beckon.v.01	
red nail polish	1	collar.v.01	
murky	1		
peering in	1	peer.v.01	
running length	1	run.v.01	
connecting with	1	be.v.01	
makes a working	1	make.v.01	
break against	1	unwrap.v.02	
liner on	1	along.r.01	
sprinkles	1	scatter.v.03	
down back of a	1		down back of
for allowing	1	let.v.01	
lap	1	lick.v.02	
stiiting on	1	along.r.01	
